image;caption;opinion;knowledge_level;gender
Burj_Al_Arab_Hotel;A person is taking a shots on the beach;2;0;1
Bruce_Lee;Bruce lee, a karate master showing stunt.;2;2;1
Cornor_Mcgregor;A WWW champion, all tattoo in his body showing his strength.;2;0;1
Cornor_Mcgregor;A champion, has tattoo in his body.;2;0;1
Burj_Al_Arab_Hotel;A man in the beach taking photographs.;2;0;1
Bruce_Lee;Bruce Lee, a karate king showing his stunts.;2;2;1
Bruce_Lee;Bruce Lee, a karate master showing his stunt steps.;2;2;1
Chinese_New_Year;A man is bursting crackers for celebration.;2;0;1
Cornor_Mcgregor;A champion has tattoo all over his body.;2;0;1
Chinese_New_Year;It was a cracker burst by the man.;2;0;1
Chinese_New_Year;A man bursting crackers.;2;0;1
Burj_Al_Arab_Hotel;A man taking photographs in the beach by having umbrella for the shadow.;2;0;1
Avenue_Of_Stars;A women showing the same pose as the sculpture behind.;2;0;1
Avenue_Of_Stars;A women is taking photograph as like the sculpture behind.;2;0;1
Avenue_Of_Stars;A women taking photo with same pose as sculpture behind.;2;0;1
Bruce_Lee;Bruce Lee using kung fu to attack others;0;2;0
Burj_Al_Arab_Hotel;A man sitting on a chair and side seeing the beach;0;2;0
Bruce_Lee;Bruce lee warning others by showing a step in kung fu;0;2;0
Chinese_New_Year;A young boy keeping crackers to brust;1;1;0
Chinese_New_Year;A small boy lighting crackers;1;1;0
Burj_Al_Arab_Hotel;Man side seeing a beach by sitting on top of the chair;0;2;0
Burj_Al_Arab_Hotel;A person side seeing beach sitting on a chair;0;2;0
Avenue_Of_Stars;A girl giving pose to a photoshoot;0;2;0
Cornor_Mcgregor;A man showing a pose after winning the game;2;0;0
Cornor_Mcgregor;Man feeling strong and giving pose for a snap after winning the game;2;0;0
Bruce_Lee;Bruce lee showing a step in kung fu;0;2;0
Cornor_Mcgregor;A man giving pose for a photo;2;0;0
Avenue_Of_Stars;Girl showing action like statue for a photo;0;2;0
Chinese_New_Year;Young boy keeping crackers;1;1;0
Avenue_Of_Stars;Young girl showing action for a photo;0;2;0
Chinese_New_Year;A person is lighting fireworks. The fireworks are going off around him with lots of sparks.;1;2;0
Bruce_Lee;Bruce Lee is posing, shirtless, with one leg raised in the air. He is also pointing a finger.;1;2;0
Avenue_Of_Stars;A girl is imitating a waterfront statue, with a cityscape on the other side of the water.;2;0;0
Burj_Al_Arab_Hotel;A man is sitting in a lifeguard chair on a beach, with a famous building in Dubai in the background. It is the hotel that looks like a sail.;1;1;0
Burj_Al_Arab_Hotel;There is a main in a lifeguard chair, watching over a beach.  That famous hotel in Dubai that looks like a sail is behind him.  There are a few people on the beach, too.;1;1;0
Cornor_Mcgregor;Connor McGregor is posing for a picture, making a face with his tongue out and his hands in the air.;2;2;0
Avenue_Of_Stars;There is a young woman standing on a pier. She is posing to match a statue behind her.  Behind the pier is a river or bay. There is a large city on the other side of the water.;2;0;0
Avenue_Of_Stars;Some girl is standing in front of a statue, trying to match it's pose.;2;0;0
